Category,Amount,Date,Payment Mode,Message
Utilities,100.9,2024-09-22,Debit Card,Water bill
Insurance,240,2024-09-23,Bank Transfer,Car insurance premium
EatingOut,65,2024-09-24,Mobile Payment,Dinner with colleagues
SavingsAndInvestments,700,2024-09-25,Other,Real estate investment
PersonalSpending,85,2024-09-26,Online Payment,Luxury items
Entertainment,25,2024-09-27,Mobile Payment,Streaming service subscription
Miscellaneous,45,2024-09-28,Other,Personal care products
Groceries,60.2,2024-09-29,Cash,Organic produce shopping
Transportation,13.7,2024-09-30,Credit Card,Ride-sharing service
Housing,1300,2024-10-01,Check,Monthly rent payment
Utilities,110.5,2024-10-02,Debit Card,Electricity bill
Insurance,220,2024-10-03,Bank Transfer,Travel insurance
EatingOut,40.5,2024-10-04,Mobile Payment,Lunch at a bistro
SavingsAndInvestments,550,2024-10-05,Other,Stock market investment
PersonalSpending,95,2024-10-06,Online Payment,Fitness class membership
Entertainment,30,2024-10-07,Mobile Payment,Music festival tickets
Miscellaneous,20,2024-10-08,Other,Online course fee
